battery_autonomy_per_cycle:eu:hours_min,battery_endurance_in_cycles:eu,battery_lifespan_in_cycles:eu:higher_or_equal_to,brands,consumer_electronics:battery_capacity:mah,consumer_electronics:battery_user_replaceable,consumer_electronics:charger_output_power:w,consumer_electronics:charger_receptacle_type,consumer_electronics:falls_without_defect,consumer_electronics:initial_operating_system,consumer_electronics:is_foldable,consumer_electronics:min_years_software_updates,consumer_electronics:repair_instructions:url,consumer_electronics:screen_scratch_resistance:mohs,consumer_electronics:spare_parts_info:url,device_type,ec_energy_label:svg_url,ec_energy_label:url,energy_efficiency_class:eu,eprel_id,guarantee_duration:months,ingress_protection_rating:ip,ingress_protection_rating:ip:immersion_depth:m,ingress_protection_rating:ip:number,ingress_protection_rating:ip:solid,ingress_protection_rating:ip:water,manufacturer:reference_number,release_date,repairability_class:eu,repairability_index:eu,repairability_score:eu:disassembly_depth,repairability_score:eu:fasteners,repairability_score:eu:repair_info,repairability_score:eu:spare_parts,repairability_score:eu:tools,repeated_free_fall_reliability_class:eu
2827,8,800,vivo,5200,True,55,USB_C,100,ANDROID,False,5,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,MOHS_5,https://vivospareparts.com/,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2259410.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2259410?navigatingfrom=qr,B,2259410,24,IP68,1.5,68,DUST_TIGHT,CONT_IMMERSION,V2505,2025-06-05,C,2.99,2.9,3.1,NO_COST,PRIORITY,1,C
3913,12,1200,OUKITEL,5150,False,10,USB_C,270,ANDROID,False,5,/,MOHS_5,/,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2384172.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2384172?navigatingfrom=qr,A,2384172,12,IP54,,54,DUST_PROTECTED,SPLASHING,C1 Pro,2025-06-10,B,3.47,3.9,2.6,NO_COST_PROFESSIONAL_REPAIRERS,DISPLAY_BATTERY_BACK_COVER_CAMERAS,4.05,A
2760,5,500,HAMMER,6000,False,5,USB_C,455,ANDROID,False,5,www.mptech.eu,MOHS_6,www.mptech.eu,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2374820.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2374820?navigatingfrom=qr,C,2374820,24,IP68,2,68,DUST_TIGHT,CONT_IMMERSION,Construction,2022-10-11,B,3.48,4.2,4.8,NO_COST_PROFESSIONAL_REPAIRERS,PRIORITY,3.1,A
3343,8,800,realme,5000,False,5,USB_C,270,ANDROID,False,5,/,MOHS_4,/,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2398244.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2398244?navigatingfrom=qr,A,2398244,12,IP44,,44,MORE_THAN_1MM,SPLASHING,RMX3939,2025-06-25,B,3.37,3.5,2.6,NO_COST_PROFESSIONAL_REPAIRERS,DISPLAY_BATTERY_BACK_COVER_CAMERAS,4.05,A
3163,10,1000,TCL,4900,True,33,USB_C,180,ANDROID,False,5,https://www.tcl.com/mobile-support,MOHS_5,https://storesp.tcl.com,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2371500.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2371500?navigatingfrom=qr,B,2371500,24,IP54,,54,DUST_PROTECTED,SPLASHING,T517F,2025-05-26,B,3.44,3.1,3.6,NO_COST,PRIORITY,3.15,B
4106,10,1000,motorola,5100,True,10,USB_C,180,ANDROID,False,5,https://www.replacebase.eu/motorola-guide,MOHS_6,https://www.replacebase.eu/genuine-motorola-parts,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2208427.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2208427?navigatingfrom=qr,A,2208427,60,IP54,,54,DUST_PROTECTED,SPLASHING,e15 (XT2523-6),2024-12-29,B,3.39,2.3,3.4,NO_COST,PRIORITY,4.35,B
2910,8,800,HMD,4500,True,33,USB_C,270,ANDROID,False,5,https://www.hmd.com/en_int/self-repair,MOHS_8,https://www.hmd.com/en_int/self-repair,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2238053.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2238053?navigatingfrom=qr,A,2238053,36,IP54,,54,DUST_PROTECTED,SPLASHING,TA-1688,2025-06-20,A,4.01,4.05,5,NO_COST,PRIORITY,4,A
3387,12,1200,HONOR,5170,False,10,USB_C,270,ANDROID,False,5,https://support.oppo.com/en/answer/?aid=2204306,MOHS_4,https://honor.gsmnet.eu/,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2327983.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2327983?navigatingfrom=qr,A,2327983,24,IP68,1.5,68,DUST_TIGHT,CONT_IMMERSION,DNP-NX9,2025-05-19,B,3.61,3.7,3.6,NO_COST,DISPLAY_BATTERY_BACK_COVER_CAMERAS,4.3,A
3446,16,1600,OPPO,5640,True,10,USB_C,270,ANDROID,False,6,https://support.oppo.com/en/answer/?aid=2204306,MOHS_4,https://support.oppo.com/en/answer/?aid=2204306,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2245892.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2245892?navigatingfrom=qr,B,2245892,24,IP68,1.5,68,DUST_TIGHT,CONT_IMMERSION,CPH2711,2025-05-05,B,3.81,3.85,5,NO_COST,PRIORITY,3,A
1578,10,1000,DORO,3000,True,10,USB_C,210,ANDROID,True,5,www.doro.com/repair,MOHS_6,www.doro.com/repair,SMARTPHONE,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2342204.svg,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2342204?navigatingfrom=qr,C,2342204,24,IP54,,54,DUST_PROTECTED,SPLASHING,DSC-0540,2025-05-20,B,3.71,3.3,4.26,NO_COST,PRIORITY,4,A
