code,product_name,brands,categories
1380141801250,Pomorandza pakovana komad,Maxi pijaca,Sveže voće i povrće
19198082368100,Brokoli 500g,Maxi pijaca,Sveže voće i povrće
227969722000,Sampon Coconut miracle oil OGX 385ml,OGX,Lična higijena i kozmetika
227969722170,Regenerator Coconut mir oil OGX 385ml,OGX,Lična higijena i kozmetika
227969760170,Sampon Brazilian keratin OGX 385ml,OGX,Lična higijena i kozmetika
227969760240,Regenerator Brazilian keratin OGX 385ml,OGX,Lična higijena i kozmetika
227969761160,"Sampon Argan Oil of Morocco,OGX 385ml",OGX,Lična higijena i kozmetika
227969761230,Regenerator ArganOil of MoroccoOGX 385ml,OGX,Lična higijena i kozmetika
227969767030,Sampon Biotin&Collagen OGX 385ml,OGX,Lična higijena i kozmetika
227969767100,Regenerator Biotin&Collagen OGX 385ml,OGX,Lična higijena i kozmetika
227969775190,Sampon za kosu Keratin oil OGX 385ml,OGX,Lična higijena i kozmetika
227969775260,Regenerator za kosu Keratin oil OGX385ml,OGX,Lična higijena i kozmetika
23010040,Hleb Panonija 2 T-500 Mlinpek 450g,Mlinpek,Hleb i peciva
23015960,Djevrek Kuvani Ohridski 90g,Maxi pekara dorada,Hleb i peciva
23015970,Djevrek Razani kuvani Ohridski 90g,Maxi pekara dorada,Hleb i peciva
23017860,Kolac Kotorska krempita 150g,Morsal,Slatki konditori i cerealije
23805240,Kajzerica bela 55g,Maxi pekara dorada,Hleb i peciva
23808290,Hleb beli domaci Tvojih 5 min.cet.112.5g,Tvojih 5 minuta,Hleb i peciva
23808590,Hleb Panonija 2 T-500 Mlinpek pol.225g,Mlinpek,Hleb i peciva
23809200,"Hleb beli polovina 250g Vikend k, Don Do",Tvojih 5 minuta,Hleb i peciva
23809220,Hleb beli Tvojih 5min.pol.250gNarodni k,Tvojih 5 minuta,Hleb i peciva
23809230,Hleb beli Tvojih 5min.cetv.125gNarodni k,Tvojih 5 minuta,Hleb i peciva
23809330,Kifla sir Kircanski 140g,Maxi pekara dorada,Hleb i peciva
23809360,Djevrek Kircanski 100g,Maxi pekara dorada,Hleb i peciva
23809390,Rolovana kobasica Kircanski 200g,Maxi pekara dorada,Hleb i peciva
23809530,Kifla suncokret Kircanski 80g,Maxi pekara dorada,Hleb i peciva
23809550,Kifla crna sa golicom Kircanski 90g,Maxi pekara dorada,Hleb i peciva
23810350,Kifla kim I morska so Kircanski 100g,Maxi pekara dorada,Hleb i peciva
23810360,Kroasan sa sirom Kircanski 180g,Maxi pekara dorada,Hleb i peciva
23810370,Kroasan sa sunkom Kircanski 160g,Maxi pekara dorada,Hleb i peciva
23810380,Pogacice Kircanski 50g,Maxi pekara dorada,Hleb i peciva
23810400,Rol virsla Kircanski 160g,Maxi pekara dorada,Hleb i peciva
23811470,Pogacica 80g,Maxi pekara dorada,Hleb i peciva
23811640,Pasteta heljda Kircanski 100g,Maxi pekara dorada,Hleb i peciva
23811670,Heljda kifla Kircanski 100g,Maxi pekara dorada,Hleb i peciva
23811820,Pasteta sa chiom 100g,Maxi pekara dorada,Hleb i peciva
23812840,Banana pakovana zelena kutija 650g,Dole,Sveže voće i povrće
23812850,Banana pakovana 4 komada,Maxi pijaca pakovan,Sveže voće i povrće
23815200,Sarajevski zvrk meso 220g,Maxi pekara dorada,Hleb i peciva
23815210,Sarajevski zvrk sir 220g,Maxi pekara dorada,Hleb i peciva
23815270,Extra beli Maxi pekara polovina 250g,Maxi pekara pakovani,Hleb i peciva
23815280,Extra beli Maxi pekara cetvrtina 125g,Maxi pekara pakovani,Hleb i peciva
23815650,Krofna cokolada 55g,Maxi pekara dorada,Hleb i peciva
23815660,Krofna jagoda 56g,Maxi pekara dorada,Hleb i peciva
23815810,Kroasan putero sa cokoladom 72g,RM NIJE DEFINISANA,Hleb i peciva
23815980,Oval prsuta-komad Plata 1,RM NIJE DEFINISANA,Sveže i prerađeno meso
